time, itow, lat, lon, alt, speed, accuracy
36.373,574811110,49.3289987,8.5655189,162.18867,0.467,4.889
36.473,574811210,49.3289986,8.5655181,162.0657955,0.466,4.879
36.573,574811310,49.3289985,8.5655177,161.947867,0.457,4.869
36.673,574811410,49.3289984,8.5655168,161.8332318,0.466,4.859
36.773,574811510,49.3289982,8.5655161,161.7046486,0.471,4.849
36.873,574811610,49.328998,8.5655156,161.5719782,0.459,4.839
36.973,574811710,49.3289978,8.565515,161.4761993,0.457,4.829
37.073,574811810,49.3289976,8.5655147,161.4122111,0.438,4.819
37.173,574811910,49.3289973,8.5655143,161.3285414,0.433,4.809
37.273,574812010,49.3289972,8.5655136,161.1758277,0.429,4.799
37.373,574812110,49.3289972,8.5655131,161.0402934,0.434,4.79
37.473,574812210,49.3289971,8.5655127,160.9417655,0.427,4.789
37.573,574812310,49.328997,8.5655123,160.8188755,0.416,4.779
37.673,574812410,49.3289969,8.5655117,160.7159106,0.421,4.769
37.773,574812510,49.3289969,8.5655113,160.6362481,0.416,4.759
37.873,574812610,49.3289969,8.5655107,160.5712951,0.429,4.749
37.973,574812710,49.3289968,8.5655104,160.459116,0.404,4.74
38.073,574812810,49.3289968,8.5655097,160.3324279,0.419,4.739
38.173,574812910,49.3289968,8.5655094,160.2637505,0.409,4.729
38.273,574813010,49.3289967,8.5655092,160.1687329,0.393,4.719
38.373,574813110,49.3289966,8.5655085,160.0219346,0.408,4.71
38.473,574813210,49.3289965,8.5655081,159.8949511,0.418,4.709
38.573,574813310,49.3289965,8.5655076,159.7693851,0.422,4.699
38.673,574813410,49.3289963,8.565507,159.5818656,0.448,4.689
38.773,574813510,49.3289962,8.5655066,159.4725544,0.45,4.68
38.873,574813610,49.3289961,8.5655063,159.3763946,0.443,4.679
38.973,574813710,49.3289961,8.565506,159.2578342,0.439,4.669
39.073,574813810,49.3289959,8.5655058,159.1258615,0.43,4.659
39.173,574813910,49.3289958,8.5655056,159.0492813,0.427,4.65
39.273,574814010,49.3289958,8.5655056,158.9441881,0.424,4.649
39.373,574814110,49.3289957,8.5655054,158.8620876,0.418,4.639
39.473,574814210,49.3289958,8.5655052,158.7634707,0.419,4.63
39.573,574814310,49.3289957,8.565505,158.6346566,0.428,4.629
39.673,574814410,49.3289957,8.5655049,158.5221325,0.43,4.619
39.773,574814510,49.3289957,8.565505,158.4137606,0.428,4.61
39.873,574814610,49.3289954,8.5655048,158.2757602,0.43,4.609
39.973,574814710,49.3289954,8.5655045,158.1125741,0.441,4.599
40.073,574814810,49.3289952,8.5655046,157.9884155,0.441,4.59
40.173,574814910,49.3289953,8.5655044,157.8866396,0.446,4.589
40.273,574815010,49.3289951,8.5655043,157.7668238,0.441,4.579
40.373,574815110,49.328995,8.5655042,157.6311847,0.44,4.57
40.473,574815210,49.3289949,8.565504,157.512551,0.448,4.569
40.573,574815310,49.3289949,8.5655039,157.4412858,0.449,4.56
40.673,574815410,49.3289947,8.565504,157.3673448,0.436,4.559
40.773,574815510,49.3289946,8.5655038,157.2269257,0.452,4.549
40.873,574815610,49.3289945,8.5655037,157.1504239,0.445,4.54
40.973,574815710,49.3289945,8.5655039,157.1553302,0.419,4.539
41.073,574815810,49.3289945,8.5655036,157.0503396,0.428,4.53
41.173,574815910,49.3289943,8.5655036,156.9420984,0.433,4.529
41.273,574816010,49.3289943,8.5655035,156.8939797,0.414,4.52
41.373,574816110,49.3289942,8.5655033,156.7797035,0.413,4.519
41.473,574816210,49.3289942,8.5655031,156.6812123,0.426,4.51
41.573,574816310,49.328994,8.5655031,156.5625005,0.42,4.509
41.673,574816410,49.3289941,8.5655028,156.4806134,0.425,4.5
41.773,574816510,49.328994,8.5655026,156.3748745,0.425,4.499
41.873,574816610,49.3289942,8.5655026,156.2986028,0.412,4.49
41.973,574816710,49.3289942,8.5655025,156.227999,0.411,4.489
42.073,574816810,49.3289941,8.5655025,156.1695549,0.406,4.48
42.173,574816910,49.3289941,8.5655023,156.106171,0.409,4.479
42.273,574817010,49.3289942,8.5655023,156.0661359,0.398,4.47
42.373,574817110,49.3289943,8.5655023,156.0383454,0.384,4.469
42.473,574817210,49.3289943,8.5655023,155.9984887,0.376,4.46
42.573,574817310,49.3289943,8.5655022,155.9346714,0.383,4.459
42.673,574817410,49.3289944,8.5655022,155.881397,0.373,4.45
42.773,574817510,49.3289942,8.5655021,155.7895166,0.382,4.449
42.873,574817610,49.3289944,8.5655021,155.7395824,0.363,4.44
42.973,574817710,49.3289944,8.5655019,155.6987591,0.36,4.439
43.073,574817810,49.3289946,8.5655019,155.6222078,0.363,4.43
43.173,574817910,49.3289948,8.5655017,155.5005215,0.371,4.429
43.273,574818010,49.3289949,8.5655013,155.3820745,0.386,4.42
43.373,574818110,49.3289951,8.5655012,155.3040906,0.377,4.42
43.473,574818210,49.3289951,8.5655008,155.2308866,0.375,4.419
43.573,574818310,49.3289953,8.5655003,155.1141595,0.394,4.41
43.673,574818410,49.3289954,8.5654998,154.9340345,0.419,4.41
43.773,574818510,49.3289954,8.5654995,154.8214448,0.414,4.409
43.873,574818610,49.3289957,8.5654991,154.7525404,0.42,4.4
43.973,574818710,49.3289957,8.565499,154.7495054,0.392,4.399
44.073,574818810,49.3289956,8.565499,154.723036,0.377,4.39
44.173,574818910,49.3289957,8.5654988,154.6656057,0.375,4.39
44.273,574819010,49.3289956,8.5654987,154.6060482,0.374,4.389
44.373,574819110,49.3289958,8.5654985,154.4961213,0.373,4.38
44.473,574819210,49.3289957,8.5654983,154.4215245,0.377,4.38
44.573,574819310,49.3289957,8.5654979,154.3451701,0.392,4.38
44.673,574819410,49.3289957,8.5654978,154.3142255,0.379,4.38
44.773,574819510,49.3289955,8.5654975,154.2471752,0.39,4.38
44.873,574819610,49.3289955,8.5654974,154.1924498,0.375,4.379
44.973,574819710,49.3289956,8.5654974,154.1557622,0.353,4.37
45.073,574819810,49.3289956,8.5654971,154.0872955,0.359,4.37
45.173,574819910,49.3289956,8.565497,154.0238495,0.354,4.37
45.273,574820010,49.3289958,8.5654966,153.9653994,0.365,4.37
45.373,574820110,49.3289957,8.5654966,153.8862255,0.348,4.369
45.473,574820210,49.3289956,8.5654966,153.8815276,0.347,4.36
45.573,574820310,49.3289956,8.5654965,153.8951573,0.328,4.36
45.673,574820410,49.3289956,8.5654965,153.8341775,0.326,4.359
45.773,574820510,49.3289956,8.5654964,153.7754764,0.326,4.35
45.873,574820610,49.3289955,8.5654962,153.6997208,0.33,4.35
45.973,574820710,49.3289955,8.5654962,153.6238088,0.322,4.35
46.073,574820810,49.3289954,8.5654962,153.5785333,0.324,4.349
46.173,574820910,49.3289955,8.5654963,153.5817039,0.318,4.34
46.273,574821010,49.3289954,8.5654963,153.6024436,0.306,4.34
46.373,574821110,49.3289953,8.5654962,153.5815475,0.3,4.34
46.473,574821210,49.3289953,8.5654962,153.5150598,0.299,4.339
46.573,574821310,49.3289952,8.5654958,153.4387797,0.323,4.33
46.673,574821410,49.3289952,8.5654958,153.3585867,0.31,4.33
46.773,574821510,49.3289952,8.5654958,153.3288175,0.297,4.329
46.873,574821610,49.3289951,8.5654956,153.2832374,0.311,4.32
46.973,574821710,49.3289952,8.5654954,153.2215183,0.309,4.32
47.073,574821810,49.3289952,8.5654951,153.1249288,0.321,4.32
47.173,574821910,49.3289953,8.565495,153.0677324,0.325,4.319
47.273,574822010,49.3289954,8.5654951,153.0630619,0.299,4.31
47.373,574822110,49.3289954,8.5654952,153.0121238,0.298,4.31
47.473,574822210,49.3289955,8.5654951,153.1108905,0.284,4.31
47.573,574822310,49.3289957,8.5654949,152.970384,0.291,4.309
47.673,574822410,49.3289958,8.5654948,152.9188646,0.286,4.3
47.773,574822510,49.3289957,8.5654944,152.809023,0.298,4.299
47.873,574822610,49.3289958,8.5654941,152.7220475,0.303,4.29
47.973,574822710,49.3289958,8.5654941,152.7390878,0.297,4.29
48.073,574822809,49.3289959,8.565494,152.7417445,0.271,4.289
48.173,574822910,49.3289959,8.5654941,152.8020644,0.261,4.28
48.273,574823012,49.3289959,8.5654937,152.6729023,0.267,4.281
48.373,574823112,49.328996,8.5654934,152.5658462,0.281,4.279
48.473,574823212,49.328996,8.5654935,152.5885224,0.257,4.271
48.573,574823312,49.328996,8.5654935,152.5836291,0.249,4.269
48.673,574823412,49.3289962,8.5654934,152.5354866,0.259,4.26
48.773,574823512,49.3289962,8.5654931,152.4640194,0.26,4.26
48.873,574823612,49.3289963,8.5654928,152.4162916,0.27,4.258
48.973,574823712,49.3289963,8.5654926,152.3671193,0.282,4.249
49.073,574823812,49.3289964,8.5654924,152.2925102,0.27,4.251
49.173,574823912,49.3289965,8.5654921,152.2533917,0.281,4.249
49.273,574824012,49.3289965,8.5654919,152.2000756,0.272,4.241
49.373,574824112,49.3289966,8.5654917,152.1520797,0.268,4.239
49.473,574824212,49.3289968,8.5654913,152.1185409,0.279,4.231
49.573,574824312,49.3289969,8.565491,152.0624556,0.27,4.229
49.673,574824412,49.3289969,8.565491,152.0198959,0.268,4.221
49.773,574824512,49.3289971,8.5654905,151.9290501,0.289,4.219
49.873,574824612,49.3289973,8.5654903,151.8719484,0.283,4.211
49.973,574824712,49.3289973,8.56549,151.8173894,0.289,4.209
50.073,574824812,49.3289972,8.5654902,151.799609,0.273,4.198
50.173,574824912,49.3289975,8.5654902,151.8134775,0.263,4.189
50.273,574825012,49.3289976,8.5654902,151.8661249,0.243,4.189
50.373,574825112,49.3289979,8.5654904,151.9151753,0.235,4.179
